addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80180834	576	func_80180834	verified	0	u32	1	23	320	s0|s1|s2|s3|ra	gp
0x80180A74	164	func_80180A74	verified	1	u32	1	1	24	s0|ra	
0x80180B18	248	func_80180B18	verified	4	u32	1	1	48	s0|s1|s2|s3|ra	
0x80180C10	8	func_80180C10	high	0	void	1	0	0		leaf
0x80180C18	188	BootEntry	low	0	u32	0	2	0		break|gp
0x80180CD4	16	bios_A0_39_InitHeap	verified	0	void	1	0	0		bios|leaf|indirect
0x80180CE4	16	bios_A0_51_LoadAndExecute	verified	0	void	1	0	0		bios|leaf|indirect
0x80180CF4	16	bios_A0_71_CdInit	verified	0	void	1	0	0		bios|leaf|indirect
0x80180D04	84	func_80180D04	verified	1	void	1	6	24	s0|ra	
0x80180D58	56	func_80180D58	medium	0	void	0	4	24	ra	orphan
0x80180D90	48	func_80180D90	verified	0	void	1	3	24	ra	
0x80180DC0	16	func_80180DC0	high	0	void	11	0	0		leaf|syscall
0x80180DD0	16	func_80180DD0	high	0	void	9	0	0		leaf|syscall
0x80180DE0	16	bios_B0_5B_ChangeClearPad	verified	0	void	8	0	0		bios|leaf|indirect
0x80180DF0	16	bios_B0_4A_InitCard	verified	0	void	1	0	0		bios|leaf|indirect
0x80180E00	16	bios_B0_4B_StartCard	verified	0	void	1	0	0		bios|leaf|orphan|indirect
0x80180E10	16	bios_B0_4C_StopCard	verified	0	void	1	0	0		bios|leaf|indirect
0x80180E20	88	func_80180E20	high	0	u32	1	0	0		leaf|addr_taken|indirect
0x80180E78	136	func_80180E78	high	0	u32	1	3	0		indirect
0x80180F00	48	func_80180F00	high	0	void	2	1	0		addr_taken
0x80180F30	108	func_80180F30	high	0	u32	2	3	0		indirect
0x80180F9C	24	func_80180F9C	low	0	void	0	0	0		leaf|orphan
0x80180FC0	16	bios_A0_44_FlushCache	verified	0	void	4	0	0		bios|leaf|indirect
0x80180FD0	104	func_80180FD0	high	0	u32	1	3	0		indirect
0x80181050	236	func_80181050	medium	4	u32	0	2	48	s0|s1|s2|s3|ra	orphan
0x8018113C	104	func_8018113C	medium	3	u32	0	2	40	s0|s1|ra	orphan
0x801811A4	104	func_801811A4	medium	3	u32	0	2	40	s0|s1|ra	orphan
0x8018120C	208	func_8018120C	verified	4	u32	1	2	40	s0|s1|s2|s3|s4|ra	
0x801812DC	60	func_801812DC	high	4	u32	1	0	0		leaf
0x80181318	208	func_80181318	medium	4	u32	1	1	40	s0|s1|s2|s3|ra	orphan
0x801813E8	24	func_801813E8	low	2	u32	2	0	0		leaf|orphan
0x80181400	208	func_80181400	medium	1	u32	0	2	32	s0|ra	orphan
0x801814D0	64	func_801814D0	medium	1	u32	0	1	24	ra	orphan
0x80181510	28	func_80181510	low	1	u32	0	0	0		leaf|orphan
0x8018152C	28	func_8018152C	low	1	u32	0	0	0		leaf|orphan
0x80181548	60	func_80181548	low	2	u32	0	0	0		leaf|orphan
0x80181584	60	func_80181584	low	3	u32	0	0	0		leaf|orphan
0x801815C0	36	func_801815C0	low	2	u32	0	0	0		leaf|orphan
0x801815E4	24	func_801815E4	low	1	u32	0	0	0		leaf|orphan
0x801815FC	40	func_801815FC	low	2	u32	0	0	0		leaf|orphan
0x80181624	40	func_80181624	low	2	u32	0	0	0		leaf|orphan
0x8018164C	20	func_8018164C	low	1	u32	0	0	0		leaf|orphan
0x80181660	20	func_80181660	low	1	u32	0	0	0		leaf|orphan
